"n","y","prior_variance","posterior_variance","posterior_less_than_prior"
1,0,0.0833333333333333,0.0555555555555556,TRUE
1,1,0.0833333333333333,0.0555555555555556,TRUE
2,0,0.0833333333333333,0.0375,TRUE
2,1,0.0833333333333333,0.05,TRUE
2,2,0.0833333333333333,0.0375,TRUE
3,0,0.0833333333333333,0.0266666666666667,TRUE
3,1,0.0833333333333333,0.04,TRUE
3,2,0.0833333333333333,0.04,TRUE
3,3,0.0833333333333333,0.0266666666666667,TRUE
4,0,0.0833333333333333,0.0198412698412698,TRUE
4,1,0.0833333333333333,0.0317460317460317,TRUE
4,2,0.0833333333333333,0.0357142857142857,TRUE
4,3,0.0833333333333333,0.0317460317460317,TRUE
4,4,0.0833333333333333,0.0198412698412698,TRUE
5,0,0.0833333333333333,0.0153061224489796,TRUE
5,1,0.0833333333333333,0.0255102040816327,TRUE
5,2,0.0833333333333333,0.0306122448979592,TRUE
5,3,0.0833333333333333,0.0306122448979592,TRUE
5,4,0.0833333333333333,0.0255102040816327,TRUE
5,5,0.0833333333333333,0.0153061224489796,TRUE
6,0,0.0833333333333333,0.0121527777777778,TRUE
6,1,0.0833333333333333,0.0208333333333333,TRUE
6,2,0.0833333333333333,0.0260416666666667,TRUE
6,3,0.0833333333333333,0.0277777777777778,TRUE
6,4,0.0833333333333333,0.0260416666666667,TRUE
6,5,0.0833333333333333,0.0208333333333333,TRUE
6,6,0.0833333333333333,0.0121527777777778,TRUE
7,0,0.0833333333333333,0.00987654320987654,TRUE
7,1,0.0833333333333333,0.017283950617284,TRUE
7,2,0.0833333333333333,0.0222222222222222,TRUE
7,3,0.0833333333333333,0.0246913580246914,TRUE
7,4,0.0833333333333333,0.0246913580246914,TRUE
7,5,0.0833333333333333,0.0222222222222222,TRUE
7,6,0.0833333333333333,0.017283950617284,TRUE
7,7,0.0833333333333333,0.00987654320987654,TRUE
8,0,0.0833333333333333,0.00818181818181818,TRUE
8,1,0.0833333333333333,0.0145454545454545,TRUE
8,2,0.0833333333333333,0.0190909090909091,TRUE
8,3,0.0833333333333333,0.0218181818181818,TRUE
8,4,0.0833333333333333,0.0227272727272727,TRUE
8,5,0.0833333333333333,0.0218181818181818,TRUE
8,6,0.0833333333333333,0.0190909090909091,TRUE
8,7,0.0833333333333333,0.0145454545454545,TRUE
8,8,0.0833333333333333,0.00818181818181818,TRUE
9,0,0.0833333333333333,0.0068870523415978,TRUE
9,1,0.0833333333333333,0.012396694214876,TRUE
9,2,0.0833333333333333,0.0165289256198347,TRUE
9,3,0.0833333333333333,0.0192837465564738,TRUE
9,4,0.0833333333333333,0.0206611570247934,TRUE
9,5,0.0833333333333333,0.0206611570247934,TRUE
9,6,0.0833333333333333,0.0192837465564738,TRUE
9,7,0.0833333333333333,0.0165289256198347,TRUE
9,8,0.0833333333333333,0.012396694214876,TRUE
9,9,0.0833333333333333,0.0068870523415978,TRUE
10,0,0.0833333333333333,0.00587606837606838,TRUE
10,1,0.0833333333333333,0.0106837606837607,TRUE
10,2,0.0833333333333333,0.0144230769230769,TRUE
10,3,0.0833333333333333,0.0170940170940171,TRUE
10,4,0.0833333333333333,0.0186965811965812,TRUE
10,5,0.0833333333333333,0.0192307692307692,TRUE
10,6,0.0833333333333333,0.0186965811965812,TRUE
10,7,0.0833333333333333,0.0170940170940171,TRUE
10,8,0.0833333333333333,0.0144230769230769,TRUE
10,9,0.0833333333333333,0.0106837606837607,TRUE
10,10,0.0833333333333333,0.00587606837606838,TRUE
11,0,0.0833333333333333,0.00507185122569738,TRUE
11,1,0.0833333333333333,0.00929839391377853,TRUE
11,2,0.0833333333333333,0.0126796280642434,TRUE
11,3,0.0833333333333333,0.0152155536770921,TRUE
11,4,0.0833333333333333,0.0169061707523246,TRUE
11,5,0.0833333333333333,0.0177514792899408,TRUE
11,6,0.0833333333333333,0.0177514792899408,TRUE
11,7,0.0833333333333333,0.0169061707523246,TRUE
11,8,0.0833333333333333,0.0152155536770921,TRUE
11,9,0.0833333333333333,0.0126796280642434,TRUE
11,10,0.0833333333333333,0.00929839391377853,TRUE
11,11,0.0833333333333333,0.00507185122569738,TRUE
12,0,0.0833333333333333,0.00442176870748299,TRUE
12,1,0.0833333333333333,0.00816326530612245,TRUE
